abandon|từ bỏ, bỏ rơi|desert, forsake, leave
admit|thừa nhận, thú nhận|confess, acknowledge, concede
adolescent|thanh thiếu niên|teenager, youth, minor
adverse|bất lợi, có hại|unfavorable, hostile, negative
advocate|ủng hộ, người biện hộ|support, champion, promoter
affable|hòa nhã, niềm nở|friendly, amiable, cordial
affair|sự kiện, việc lùm xùm|event, matter, incident, romance
affect|ảnh hưởng, tác động|influence, impact, alter
affluent|giàu có, sung túc|wealthy, rich, prosperous
afford|có khả năng chi trả|pay for, manage, bear
agile|nhanh nhẹn, lanh lợi|nimble, quick, swift
agitate|kích động, làm bối rối|disturb, upset, stir, fluster
agony|sự đau đớn tột cùng|pain, suffering, torment, anguish
allege|cho là, viện cớ|claim, assert, declare
alleviate|làm nhẹ bớt, giảm bớt|relieve, ease, lessen, mitigate
allot|phân công, cấp phát|allocate, assign, distribute
allure|sức hấp dẫn, quyến rũ|attract, charm, tempt, entice
ally|đồng minh, liên minh|partner, associate, confederate
alter|thay đổi, biến đổi|change, modify, adjust, amend
alternate|luân phiên, xen kẽ|rotate, substitute, swap
altruistic|vị tha, nhân đạo|unselfish, charitable, humanitarian
amass|tích lũy, cóp nhặt|accumulate, gather, collect
amateur|nghiệp dư|beginner, novice, nonprofessional
ambiguous|mơ hồ, không rõ ràng|unclear, vague, obscure
ambition|tham vọng, hoài bão|drive, goal, aspiration, desire
ambivalent|cảm xúc lẫn lộn, mâu thuẫn|unsure, undecided, hesitant
ameliorate|cải thiện, làm tốt hơn|improve, better, enhance
amend|sửa đổi, cải thiện|alter, modify, revise, correct
amiable|tử tế, hòa nhã|friendly, affable, pleasant, cordial
ample|rộng rãi, dư dật|plentiful, abundant, spacious, enough
amplify|phóng đại, khuếch đại|magnify, increase, boost, expand
amuse|làm vui vẻ, giải trí|entertain, please, charm, cheer
analyze|phân tích|examine, evaluate, investigate
animosity|sự thù oán, ác cảm|hostility, hatred, malice, bitterness
annihilate|tiêu diệt, hủy diệt|destroy, wipe out, obliterate
anticipate|lường trước, dự đoán|expect, predict, foresee
apathy|sự thờ ơ, vô cảm|indifference, unconcern, lethargy
apologize|xin lỗi|say sorry, express regret
appall|làm kinh hoảng, làm thất kinh|horrify, shock, dismay, terrify
appease|khuyên giải, xoa dịu|pacify, calm, soothe, placate
applaud|vỗ tay tán thưởng, ca ngợi|clap, praise, commend, cheer
apprehend|bắt giữ, hiểu thấu|arrest, capture, comprehend, understand
arbitrary|tùy tiện, độc đoán|random, chance, subjective, illogical
arduous|gian khổ, gay go|difficult, hard, strenuous, exhausting
arrest|bắt giữ, ngăn chặn|capture, apprehend, detain, stop
arrogant|kiêu ngạo, ngạo mạn|haughty, conceited, proud, vain
articulate|ăn nói lưu loát, rõ ràng|fluent, clear, expressive, coherent
ascertain|xác minh, tìm hiểu chắc chắn|determine, discover, find out, verify
aspire|thiết tha, khao khát|aim, desire, hope, strive
assassinate|ám sát|murder, kill, slay, eliminate
assess|đánh giá, định giá|evaluate, judge, estimate, gauge
assiduous|siêng năng, chuyên cần|diligent, hard-working, industrious
assimilate|đồng hóa, tiêu hóa|absorb, incorporate, digest, integrate
astute|sắc sảo, tinh khôn|shrewd, sharp, clever, intelligent
attain|đạt được, giành được|achieve, reach, accomplish, obtain
attire|quần áo, đồ trang điểm|clothing, dress, apparel, garments
attitude|thái độ, quan điểm|mindset, perspective, stance
attribute|thuộc tính, quy cho|quality, feature, ascribe, credit
audacious|táo bạo, trơ tráo|bold, daring, fearless, impudent
augment|làm tăng lên|increase, enlarge, expand, supplement
auspicious|có điềm lành, thuận lợi|favorable, promising, lucky, propitious
austere|khắc khổ, giản dị|strict, severe, plain, stark
authoritarian|độc đoán, đòi hỏi phục tùng|dictatorial, strict, absolute, autocratic
autonomy|sự tự trị, độc lập|independence, freedom, self-rule
avarice|lòng tham, sự hám lợi|greed, materialism, covetousness
aversion|sự ghét, ác cảm|dislike, hatred, reluctance, loathing
awe|sự kính sợ, kinh ngạc|wonder, amazement, respect, reverence
absorb|hấp thụ, tiếp thu|soak up, consume, assimilate
accelerate|tăng tốc, thúc đẩy|speed up, hasten, quicken
access|truy cập, tiếp cận|entrance, entry, approach
accommodate|cung cấp chỗ ở, đáp ứng|house, lodge, suit, fit
accompany|đi cùng, đồng hành|go with, escort, follow
accomplice|đồng phạm|partner, collaborator, accessory
accumulate|tích lũy, gom tụ|amass, gather, collect
accuse|buộc tội, kết án|blame, charge, incriminate
acquire|thu được, đạt được|obtain, gain, get, earn
acquit|tha bổng, tuyên trắng án|clear, absolve, exonerate
adamant|kiên quyết, cứng rắn|inflexible, resolute, stubborn
adequate|đầy đủ, thỏa đáng|sufficient, enough, ample
adhere|dính chặt, tuân thủ|stick, cling, comply, follow
adjacent|liền kề, sát cạnh|next to, bordering, neighboring
adjourn|dời lại, hoãn lại|postpone, delay, suspend
adjust|điều chỉnh, thích nghi|adapt, modify, alter
admit|thừa nhận, thú nhận|confess, acknowledge, concede
adolescent|thanh thiếu niên|teenager, youth, minor
adverse|bất lợi, có hại|unfavorable, hostile, negative
advocate|ủng hộ, người biện hộ|support, champion, promoter
affable|hòa nhã, niềm nở|friendly, amiable, cordial
affair|sự kiện, việc lùm xùm|event, matter, incident, romance
affect|ảnh hưởng, tác động|influence, impact, alter
affluent|giàu có, sung túc|wealthy, rich, prosperous
afford|có khả năng chi trả|pay for, manage, bear
agile|nhanh nhẹn, lanh lợi|nimble, quick, swift
agitate|kích động, làm bối rối|disturb, upset, stir, fluster
agony|sự đau đớn tột cùng|pain, suffering, torment, anguish
allege|cho là, viện cớ|claim, assert, declare
alleviate|làm nhẹ bớt, giảm bớt|relieve, ease, lessen, mitigate
allot|phân công, cấp phát|allocate, assign, distribute
allure|sức hấp dẫn, quyến rũ|attract, charm, tempt, entice
ally|đồng minh, liên minh|partner, associate, confederate
alter|thay đổi, biến đổi|change, modify, adjust, amend
alternate|luân phiên, xen kẽ|rotate, substitute, swap
altruistic|vị tha, nhân đạo|unselfish, charitable, humanitarian
amass|tích lũy, cóp nhặt|accumulate, gather, collect
amateur|nghiệp dư|beginner, novice, nonprofessional
ambiguous|mơ hồ, không rõ ràng|unclear, vague, obscure
ambition|tham vọng, hoài bão|drive, goal, aspiration, desire
ambivalent|cảm xúc lẫn lộn, mâu thuẫn|unsure, undecided, hesitant
ameliorate|cải thiện, làm tốt hơn|improve, better, enhance
amend|sửa đổi, cải thiện|alter, modify, revise, correct
amiable|tử tế, hòa nhã|friendly, affable, pleasant, cordial
ample|rộng rãi, dư dật|plentiful, abundant, spacious, enough
amplify|phóng đại, khuếch đại|magnify, increase, boost, expand
amuse|làm vui vẻ, giải trí|entertain, please, charm, cheer
analyze|phân tích|examine, evaluate, investigate
animosity|sự thù oán, ác cảm|hostility, hatred, malice, bitterness
annihilate|tiêu diệt, hủy diệt|destroy, wipe out, obliterate
anticipate|lường trước, dự đoán|expect, predict, foresee
apathy|sự thờ ơ, vô cảm|indifference, unconcern, lethargy
apologize|xin lỗi|say sorry, express regret
appall|làm kinh hoảng, làm thất kinh|horrify, shock, dismay, terrify
appease|khuyên giải, xoa dịu|pacify, calm, soothe, placate
applaud|vỗ tay tán thưởng, ca ngợi|clap, praise, commend, cheer
apprehend|bắt giữ, hiểu thấu|arrest, capture, comprehend, understand
arbitrary|tùy tiện, độc đoán|random, chance, subjective, illogical
arduous|gian khổ, gay go|difficult, hard, strenuous, exhausting
arrest|bắt giữ, ngăn chặn|capture, apprehend, detain, stop
arrogant|kiêu ngạo, ngạo mạn|haughty, conceited, proud, vain
articulate|ăn nói lưu loát, rõ ràng|fluent, clear, expressive, coherent
ascertain|xác minh, tìm hiểu chắc chắn|determine, discover, find out, verify
aspire|thiết tha, khao khát|aim, desire, hope, strive
assassinate|ám sát|murder, kill, slay, eliminate
assess|đánh giá, định giá|evaluate, judge, estimate, gauge
assiduous|siêng năng, chuyên cần|diligent, hard-working, industrious
assimilate|đồng hóa, tiêu hóa|absorb, incorporate, digest, integrate
astute|sắc sảo, tinh khôn|shrewd, sharp, clever, intelligent
attain|đạt được, giành được|achieve, reach, accomplish, obtain
attire|quần áo, đồ trang điểm|clothing, dress, apparel, garments
attitude|thái độ, quan điểm|mindset, perspective, stance
attribute|thuộc tính, quy cho|quality, feature, ascribe, credit
audacious|táo bạo, trơ tráo|bold, daring, fearless, impudent
augment|làm tăng lên|increase, enlarge, expand, supplement
auspicious|có điềm lành, thuận lợi|favorable, promising, lucky, propitious
austere|khắc khổ, giản dị|strict, severe, plain, stark
authoritarian|độc đoán, đòi hỏi phục tùng|dictatorial, strict, absolute, autocratic
autonomy|sự tự trị, độc lập|independence, freedom, self-rule
avarice|lòng tham, sự hám lợi|greed, materialism, covetousness
aversion|sự ghét, ác cảm|dislike, hatred, reluctance, loathing
awe|sự kính sợ, kinh ngạc|wonder, amazement, respect, reverence

baby|đứa bé, trẻ sơ sinh|infant, toddler, newborn
back|phía sau, lùi lại|rear, reverse, backward
bad|tồi tệ, xấu|poor, evil, wicked, awful, terrible
baffle|làm rối trí, cản trở|confuse, puzzle, perplex, frustrate
baggage|hành lý|luggage, belongings, gear
bake|nướng|cook, roast, broil
balance|sự cân bằng|equilibrium, stability, symmetry
bald|hói, trọc|hairless, bare, smooth
ban|cấm đoán|prohibit, forbid, outlaw, bar
band|nhóm, băng đảng, ban nhạc|group, crew, gang, orchestra
bang|tiếng nổ lớn, đập mạnh|thud, crash, boom, slam
banish|trục xuất, xua đuổi|exile, expel, dismiss, eject
barbaric|dã man, man rợ|uncivilized, savage, brutal, cruel
bare|trần trụi, trống không|naked, uncovered, empty, stark
bargain|món hời, mặc cả|deal, discount, negotiate, haggle
barren|cằn cỗi, hiếm muộn|infertile, sterile, unproductive, desolate
barrier|rào cản, chướng ngại vật|obstacle, hurdle, barricade, obstruction
base|nền tảng, căn cứ|foundation, bottom, root, headquarters
bashful|rụt rè, bẽn lẽn|shy, timid, reserved, coy
basic|cơ bản|fundamental, essential, primary, elementary
basin|cái chậu, lưu vực|bowl, sink, hollow, valley
basis|nền tảng, cơ sở|foundation, ground, base, principle
battle|trận chiến|fight, combat, conflict, warfare
bear|chịu đựng, mang theo|endure, tolerate, carry, stand
beast|quái thú, dã thú|animal, creature, brute, monster
beat|đánh bại, đánh đập|defeat, strike, hit, conquer
beautiful|xinh đẹp|pretty, lovely, gorgeous, attractive, stunning
become|trở nên, trở thành|turn into, grow, evolve
beg|van xin, ăn xin|implore, plead, beseech, entreat
begin|bắt đầu|start, commence, initiate, launch
behave|cư xử, đối xử|act, conduct oneself, operate
behavior|hành vi, cách cư xử|conduct, demeanor, manner, actions
behind|phía sau|rear, back, after
belief|niềm tin|faith, trust, confidence, conviction
believable|có thể tin được|credible, plausible, trustworthy
believe|tin tưởng|trust, accept, suppose, credit
belongings|đồ dùng cá nhân, tài sản|possessions, property, effects, gear
beloved|được yêu mến|dear, darling, precious, adored
below|phía dưới|under, beneath, underneath
bend|uốn cong, cúi xuống|curve, twist, bow, flex
beneficial|có lợi|advantageous, helpful, useful, profitable
benefit|lợi ích|advantage, profit, gain, assistance
benevolent|nhân từ, từ thiện|kind, generous, charitable, altruistic
betray|phản bội|deceive, double-cross, mislead
bewilder|làm bối rối|confuse, perplex, baffle, mystify
beyond|vượt ra ngoài|past, further, outside
bias|thành kiến, thiên vị|prejudice, partiality, leaning, inclination
big|to lớn|large, huge, massive, enormous, giant
bind|trói buộc, gắn kết|tie, fasten, secure, unite
bitter|cay đắng, đắng ngắt|sour, acrid, harsh, resentful
bizarre|kỳ quái, kỳ lạ|strange, weird, odd, peculiar, unusual
blame|đổ lỗi, trách móc|accuse, fault, criticize, condemn
blank|trống không|empty, vacant, clear, bare
blaze|ngọn lửa rực cháy|fire, flame, flare, glow
bleak|ảm đạm, hoang vắng|gloomy, dismal, dreary, desolate
blend|trộn lẫn, pha trộn|mix, combine, merge, fuse
bless|ban phước, cầu nguyện|sanctify, consecrate, hallow
blind|mù quáng, không thấy đường|sightless, unseeing, unaware
block|ngăn chặn, khối|obstruct, bar, clog, hinder, mass
blood|máu|gore, lifeblood
bloom|nở hoa, hưng thịnh|flower, blossom, flourish, thrive
blunder|sai lầm ngớ ngẩn|mistake, error, oversight, gaffe
blunt|cùn, thẳng thừng|dull, unsharpened, direct, frank, outspoken
blur|làm mờ|obscure, dim, soften, fog
boast|khoe khoang|brag, crow, vaunt, exaggerate
body|thân thể, vóc dáng|corpse, torso, figure, physique
bold|táo bạo, dũng cảm|brave, courageous, daring, audacious
bond|sự gắn kết, mối quan hệ|tie, connection, link, relationship
bonus|tiền thưởng, phần thưởng|reward, award, premium, extra
book|sách, đặt trước|volume, reserve, schedule
boom|sự bùng nổ, tiếng nổ|expansion, growth, explosion, bang
boost|thúc đẩy, nâng lên|increase, raise, amplify, encourage
border|biên giới, ranh giới|boundary, edge, margin, frontier
bored|chán nản|uninterested, weary, jaded
boring|tẻ nhạt, chán ngắt|dull, tedious, uninteresting, monotonous
borrow|vay, mượn|take on loan, adopt, copy
boss|ông chủ, cấp trên|employer, manager, supervisor, chief
bother|làm phiền, lo lắng|annoy, disturb, irritate, worry
bottom|đáy, dưới cùng|base, foundation, foot, lowest part
bounce|nảy lên|rebound, spring, leap
bound|bị ràng buộc, ranh giới|tied, destined, limit, boundary
boundary|biên giới, ranh giới|border, frontier, barrier, margin
bountiful|dồi dào, rộng rãi|abundant, plentiful, generous, ample
bow|cúi đầu, cây cung|bend, stoop, nod
boy|cậu bé|lad, youth, male child
brag|khoe khoang|boast, vaunt, swagger
brave|dũng cảm|courageous, bold, daring, fearless
break|làm vỡ, phá vỡ|fracture, shatter, smash, rupture
breathtaking|ngoạn mục, hấp dẫn|stunning, amazing, spectacular, awesome
breed|sinh sản, giống loài|reproduce, generate, species, variety
brief|ngắn gọn|short, concise, temporary, succinct
bright|sáng sủa, thông minh|luminous, radiant, intelligent, smart, clever
brilliant|xuất sắc, rực rỡ|splendid, exceptional, bright, intelligent
bring|mang lại, đem đến|fetch, carry, deliver, transport
brisk|nhanh nhẹn, trong lành|quick, fast, energetic, refreshing
brittle|giòn, dễ vỡ|fragile, breakable, delicate, crisp
broad|rộng lớn|wide, spacious, extensive, vast
brochure|sách nhỏ quảng cáo|pamphlet, booklet, leaflet, flyer
broken|bị hỏng, bị vỡ|fractured, shattered, damaged, faulty
brutal|tàn bạo, độc ác|cruel, savage, ruthless, vicious
bubble|bong bóng|blister, globule, foam
bucket|cái xô|pail, vessel, container
budget|ngân sách|funds, allowance, finances
build|xây dựng|construct, erect, assemble, create
building|tòa nhà|structure, edifice, construction
bulk|số lượng lớn, phần lớn|majority, mass, volume, size
bulletin|bản tin|report, news, announcement, statement
bully|kẻ bắt nạt|intimidate, harass, torment
bunch|bó, cụm, chùm|cluster, group, bundle, collection
burden|gánh nặng|load, weight, strain, hardship
bureau|cục, văn phòng|office, department, agency, desk
burn|đốt cháy, thiêu rụi|scorch, blaze, char, ignite
burst|nổ tung, vỡ òa|explode, rupture, shatter, break
bury|chôn cất, giấu đi|inter, hide, conceal, submerge
business|kinh doanh, doanh nghiệp|commerce, trade, company, enterprise
busy|bận rộn|occupied, active, engaged, swamped
buy|mua|purchase, acquire, obtain
background|nền tảng, bối cảnh|context, environment, setting
bacteria|vi khuẩn|germ, microbe, microorganism
badge|huy hiệu, dấu hiệu|emblem, token, symbol
bail|tiền bảo lãnh|bond, security, surety
bait|mồi nhử, cám dỗ|lure, decoy, enticement
balk|do dự, chùn bước|hesitate, recoil, resist
banal|sáo rỗng, tầm thường|trite, hackneyed, clichéd
bankrupt|phá sản|insolvent, ruined, broke
banter|nói đùa, trêu chọc|teasing, joking, repartee
barter|trao đổi hàng hóa|trade, exchange, swap
bask|tắm nắng, tận hưởng|luxuriate, revel, sunbathe
beam|chùm sáng, rạng rỡ|ray, gleam, smile
beckon|vẫy gọi, thu hút|signal, gesture, summon
behalf|thay mặt, nhân danh|representative, interest, sake
belittle|coi nhẹ, hạ thấp|disparage, depreciate, downgrade
belligerent|hiếu chiến, tham chiến|aggressive, hostile, pugnacious
benchmark|tiêu chuẩn, điểm chuẩn|standard, baseline, criterion
benefactor|nhà hảo tâm, người bảo trợ|patron, donor, supporter
benign|lành tính, tốt bụng|harmless, gentle, kind
bequeath|để lại, truyền lại|leave, hand down, pass on
berate|mắng mỏ, chỉ trích|scold, reprimand, criticize
beset|bao vây, đe dọa|plague, afflict, harass
bestow|ban tặng, hiến dâng|grant, confer, present
beware|coi chừng, cảnh giác|watch out, mind, guard
bicker|cãi vặt|squabble, argue, quarrel
bilateral|song phương|two-sided, mutual, joint
bilingual|song ngữ|fluent in two languages
biography|tiểu sử|life story, memoir, profile
bland|nhạt nhẽo, vô vị|tasteless, insipid, dull
blatant|trắng trợn, hiển nhiên|flagrant, glaring, obvious
blemish|vết nhơ, khuyết điểm|flaw, defect, stain
blight|làm hỏng, tai họa|ruin, destroy, curse
bliss|hạnh phúc tột độ|joy, ecstasy, euphoria
blizzard|bão tuyết|snowstorm, squall, tempest
blockade|phong tỏa, bao vây|siege, barricade, barrier
blush|đỏ mặt, bối rối|flush, redden, color
bogus|giả mạo, không có thật|fake, false, counterfeit
boisterous|ồn ào, náo nhiệt|lively, loud, unruly
bolster|ủng hộ, củng cố|strengthen, support, reinforce
bombard|bắn phá, dồn dập hỏi|attack, assail, batter
boon|lợi ích, ân huệ|blessing, benefit, godsend
bourgeois|thuộc giai cấp tư sản|middle-class, conventional, materialist
boycott|tẩy chay|reject, ban, embargo
bravado|sự làm bộ bạo dạn|swagger, bluster, boldness
brazen|trơ trẽn, trơ tráo|bold, shameless, impudent
breach|vi phạm, phá vỡ|violation, break, crack
breakthrough|bước đột phá|advance, development, step
brevity|sự ngắn gọn, súc tích|conciseness, shortness, briefness
bribe|hối lộ, đút lót|payoff, buy off, suborn
broach|bắt đầu thảo luận, đề cập|introduce, mention, bring up
browse|xem lướt qua, gặm cỏ|scan, skim, graze
bruise|vết bầm tím, làm tổn thương|contusion, mark, hurt
brunt|gánh nặng chính, sức ép|force, impact, shock
buffer|vật đệm, giảm xóc|cushion, shield, screen
bulwark|bức tường thành, sự bảo vệ|rampart, fortification, defense
buoyant|nổi, lạc quan, sôi nổi|cheerful, upbeat, floating
burgeon|phát triển nhanh, đâm chồi|flourish, thrive, bloom
bustle|hối hả, nhộn nhịp|scurry, rush, activity
buttress|chống đỡ, củng cố|support, reinforce, prop up
bypass|đi vòng, bỏ qua|circumvent, avoid, detour

calm|bình tĩnh, điềm tĩnh|peaceful, quiet, serene, tranquil, composed
calamity|thiên tai, tai họa|disaster, catastrophe, tragedy, misfortune
calculate|tính toán|compute, estimate, reckon, determine
camouflage|ngụy trang|disguise, hide, conceal, mask
cancel|hủy bỏ|abort, call off, annul, revoke
candid|thật thà, ngay thẳng|frank, honest, sincere, outspoken, blunt
capable|có khả năng, năng lực|competent, able, efficient, qualified
capacity|sức chứa, dung tích|volume, space, size, ability, capability
captivate|thu hút, quyến rũ|charm, attract, enchant, fascinate, allure
careful|cẩn thận, thận trọng|cautious, attentive, prudent, wary
careless|cẩu thả, bất cẩn|negligent, reckless, irresponsible, heedless
caustic|châm chọc, chua cay|sarcastic, biting, cutting, acerbic
cautious|thận trọng, dè chừng|careful, prudent, watchful, alert, wary
cease|chấm dứt, ngừng|stop, end, halt, terminate, discontinue
celebrated|nổi tiếng, lừng danh|famous, renowned, well-known, prominent
censure|chỉ trích, phê bình|criticize, condemn, blame, reprimand
center|trung tâm|middle, core, heart, midpoint
certain|chắc chắn|sure, positive, definite, confident
certify|chứng nhận, xác thực|verify, confirm, validate, authentic
challenge|thách thức|dare, defy, question, dispute
champion|nhà vô địch, bảo vệ|winner, victor, defender, advocate
chance|cơ hội, tình cờ|opportunity, accident, luck, risk
change|thay đổi|alter, modify, transform, vary, shift
chaotic|hỗn loạn, lộn xộn|disorderly, confused, messy, tumultuous
charitable|từ thiện, khoan dung|generous, philanthropic, benevolent, kind
charming|quyến rũ, duyên dáng|delightful, attractive, lovely, appealing, pleasing
chase|theo đuổi, đuổi theo|pursue, hunt, follow, track
chaste|trong sạch, thuần khiết|pure, modest, virtuous, undefiled
cheap|rẻ tiền|inexpensive, affordable, low-cost, economical
cheat|lừa đảo, gian lận|deceive, defraud, trick, swindle, dupe
cheerful|vui vẻ, phấn khởi|happy, joyful, merry, bright, glad
cherish|yêu thương, trân trọng|treasure, value, hold dear, prize, nurture
chief|chính, chủ yếu, đứng đầu|main, primary, principal, leading, major
chilly|lạnh lẽo|cold, cool, freezing, frosty
choice|sự lựa chọn|selection, option, alternative, pick
chronicle|ghi chép biên niên sử|record, register, log, narrative, history
chubby|mũm mĩm, bầu bĩnh|plump, pudgy, round, stout
circular|tròn, vòng quanh|round, spherical, curved, cyclic
circulate|lưu thông, lan truyền|distribute, spread, publicize, disseminate
circumstance|hoàn cảnh, tình huống|situation, condition, state, event
civil|thuộc công dân, lịch sự|polite, courteous, civic, domestic
claim|tuyên bố, đòi hỏi|assert, demand, maintain, state, profess
clarify|làm rõ, giải thích|explain, clear up, illuminate, elucidate
clash|xung đột, va chạm|conflict, crash, collide, fight, disagree
clasp|ôm chặt, nắm chặt|grasp, hold, clutch, grip, embrace
classic|kinh điển, tiêu biểu|traditional, standard, typical, timeless
classify|phân loại|categorize, group, sort, arrange, index
clean|sạch sẽ|pure, neat, tidy, spotless, unsoiled
clear|rõ ràng, trong suốt|obvious, evident, transparent, lucid, plain
clever|thông minh, khéo léo|smart, intelligent, bright, ingenious, sharp
clumsy|vụng về, lóng ngóng|awkward, uncoordinated, graceless, bumbling
coarse|thô lỗ, sần sùi|rough, crude, vulgar, harsh, unrefined
coax|dỗ dành, nịnh bợ|cajole, wheedle, persuade, urge
coherent|mạch lạc, chặt chẽ|logical, consistent, clear, articulate
coincide|trùng hợp|agree, concur, match, overlap
collaborate|hợp tác|cooperate, team up, work together, join forces
collapse|sụp đổ|fall, break down, cave in, fail
colleague|đồng nghiệp|coworker, peer, associate, partner
collect|thu thập, tập hợp|gather, accumulate, assemble, amass
collision|sự va chạm|crash, impact, accident, clash
colossal|khổng lồ, to lớn|huge, giant, enormous, massive, immense
combine|kết hợp|mix, blend, unite, merge, join
comfort|sự an ủi, thoải mái|solace, ease, relief, soothe, console
comical|hài hước, khôi hài|funny, humorous, amusing, hilarious, droll
command|hạ lệnh, chỉ huy|order, direct, rule, control, instruct
commemorate|kỷ niệm, tưởng niệm|celebrate, honor, remember, observe
commence|bắt đầu|begin, start, initiate, launch
commend|khen ngợi|praise, applaud, extol, compliment
comment|bình luận, nhận xét|remark, observation, note, statement
commercial|thuộc thương mại|mercantile, trading, business, profitable
commit|cam kết, phạm phải|pledge, dedicate, perpetrate, execute
commodious|rộng rãi, thênh thang|spacious, roomy, large, ample
common|phổ biến, thông thường|usual, ordinary, general, widespread, frequent
commotion|sự hỗn loạn, rung chuyển|disturbance, turmoil, uproar, confusion
communicate|giao tiếp, truyền đạt|convey, transmit, interact, correspond
compact|nhỏ gọn, chật ních|dense, solid, condensed, small, tight
companion|bạn đồng hành|partner, associate, comrade, mate, friend
company|công ty, sự đồng hành|firm, business, corporation, companionship
comparable|có thể so sánh, tương đương|similar, equivalent, analogous, parallel
compassion|lòng trắc ẩn, thương xót|pity, sympathy, empathy, kindness, mercy
compel|bắt buộc, cưỡng ép|force, oblige, coerce, drive
compensate|đền bù, bồi thường|reimburse, repay, make up for, atone
competent|có thẩm quyền, thành thạo|capable, able, skilled, efficient, qualified
compete|cạnh tranh|contend, vie, rival, strive, contest
compile|biên soạn, tập hợp|gather, collect, accumulate, put together
complain|than phiền, khiếu nại|grumble, whine, object, protest, lament
complement|bổ sung|supplement, complete, enhance, balance
complete|hoàn thành, đầy đủ|finish, conclude, total, entire, absolute
complex|phức tạp|complicated, intricate, involved, tangled
compliment|lời khen ngợi|praise, flattery, commendation, tribute
comply|tuân thủ|obey, conform, submit, abide by, adhere
component|thành phần|part, element, piece, ingredient, segment
composed|bình tĩnh, tự chủ|calm, serene, tranquil, cool, collected
comprehend|hiểu, nhận thức|understand, grasp, fathom, realize, perceive
comprehensive|toàn diện, bao quát|thorough, inclusive, extensive, complete
compress|nén, ép|squeeze, condense, compact, crush
